FILE	FILE_SIZE_BYTES	RECON_COUNT
COG3824	1182	4.0
COG2703	1414	48.0
COG3589	1256	3.0
COG4545	1027	3.0
COG5362	1106	8.0
COG0292	2487	15552.0
COG3334	1196	12.0
COG3599	1438	7.0
COG0616	3128	1520640.0
COG2402	1136	3.0
COG1838	1867	16.0
COG4052	1038	1.0
COG5379	1091	5.0
COG3028	1273	4.0
COG4662	1177	24.0
COG1304	2700	98496.0
COG3642	1321	1.0
COG3184	1181	2.0
COG5491	1646	6.0
COG5517	1130	2.0
COG1572	1272	1.0
COG4109	1138	1.0
COG4227	1202	16.0
COG4464	1173	10.0
COG3656	1129	40.0
COG3339	1339	4.0
COG1247	1676	2592.0
COG3272	1195	16.0
COG0693	1108	19.0
COG2217	5176	5124390912.0
COG0100	3166	10616832.0
COG0821	2167	119808.0
COG2451	1391	4.0
COG3146	1361	16.0
COG5437	1056	2.0
COG5560	1616	24.0
COG1162	2181	832.0
COG2216	1582	165.0
COG4017	1024	1.0
COG1471	1475	8.0
COG1944	1323	160.0
COG4314	1129	4.0
COG1657	1485	2.0
COG3404	1212	4.0
COG0256	2733	6144.0
COG4006	1038	1.0
COG4819	1055	8.0
COG5275	1103	1.0
COG5558	1062	1.0
COG3864	1108	8.0
COG0770	2311	64.0
COG1498	1715	4.0
COG2456	1024	1.0
COG0059	2364	4608.0
COG3962	1249	1.0
COG1700	1040	5.0
COG3960	1148	20.0
COG3336	1247	8.0
COG2301	1977	30080.0
COG4655	1057	3.0
COG2264	1995	480.0
COG1808	1371	432.0
COG1332	1054	3.0
COG0071	2372	1548288.0
COG4043	1052	3.0
COG1018	3202	4391829504.0
COG3505	1482	464.0
COG3088	1381	8.0
COG0630	1662	2304.0
COG4670	1262	16.0
COG1916	1378	8.0
COG0123	3365	53248.0
COG3871	1265	12.0
COG4471	1119	1.0
COG4466	1136	1.0
COG5051	1460	8.0
COG4100	1194	1.0
COG4925	1090	20.0
COG4065	1038	1.0
COG3839	5896	5382524884750000.0
COG0736	2071	3456.0
COG2010	1026	3.0
COG4654	1110	3.0
COG5497	1074	3.0
COG4769	1122	2.0
COG5145	1068	1.0
COG4586	1300	2.0
COG1622	1041	2.0
COG1232	1751	144.0
COG3152	1535	540.0
COG4354	1363	2.0
COG4174	1340	2.0
COG5307	1977	24.0
COG3228	1203	36.0
COG5279	1206	2.0
COG3089	1093	1.0
COG1284	1865	1456.0
COG3469	1178	2.0
COG3804	1071	8.0
COG1073	5286	42470725386200.0
COG5268	1110	9.0
COG0354	1804	64.0
COG3296	1091	5.0
COG4158	1057	4.0
COG4075	1038	1.0
COG3421	1027	2.0
COG1175	1782	66.0
COG4639	1196	3.0
COG1451	2055	71808.0
