START --  2016-06-30 07:42:50
True --  ../TreeLifeData/COG3915.newick  |  #Recon:  2.0  |  Over 1?  False
True --  ../TreeLifeData/COG2153.newick  |  #Recon:  6.0  |  Over 1?  False
True --  ../TreeLifeData/COG1866.newick  |  #Recon:  74.0  |  Over 1?  False
True --  ../TreeLifeData/COG0283.newick  |  #Recon:  16.0  |  Over 1?  False
True --  ../TreeLifeData/COG5423.newick  |  #Recon:  1.0  |  Over 1?  False
True --  ../TreeLifeData/COG4147.newick  |  #Recon:  120.0  |  Over 1?  False
True --  ../TreeLifeData/COG3354.newick  |  #Recon:  1.0  |  Over 1?  False
True --  ../TreeLifeData/COG3131.newick  |  #Recon:  8.0  |  Over 1?  False
True --  ../TreeLifeData/COG1060.newick  |  #Recon:  256.0  |  Over 1?  False
True --  ../TreeLifeData/COG0182.newick  |  #Recon:  48.0  |  Over 1?  False
True --  ../TreeLifeData/COG3520.newick  |  #Recon:  200.0  |  Over 1?  False
True --  ../TreeLifeData/COG3478.newick  |  #Recon:  15.0  |  Over 1?  False
True --  ../TreeLifeData/COG1378.newick  |  #Recon:  48.0  |  Over 1?  False
True --  ../TreeLifeData/COG0595.newick  |  #Recon:  18.0  |  Over 1?  False
True --  ../TreeLifeData/COG2816.newick  |  #Recon:  8.0  |  Over 1?  False
True --  ../TreeLifeData/COG0633.newick  |  #Recon:  454656.0  |  Over 1?  False
True --  ../TreeLifeData/COG0337.newick  |  #Recon:  207360.0  |  Over 1?  False
True --  ../TreeLifeData/COG2191.newick  |  #Recon:  8.0  |  Over 1?  False
True --  ../TreeLifeData/COG5200.newick  |  #Recon:  8.0  |  Over 1?  False
True --  ../TreeLifeData/COG4325.newick  |  #Recon:  3.0  |  Over 1?  False
True --  ../TreeLifeData/COG1473.newick  |  #Recon:  24970788864.0  |  Over 1?  False
True --  ../TreeLifeData/COG1431.newick  |  #Recon:  2.0  |  Over 1?  False
True --  ../TreeLifeData/COG4832.newick  |  #Recon:  2.0  |  Over 1?  False
True --  ../TreeLifeData/COG4654.newick  |  #Recon:  3.0  |  Over 1?  False
True --  ../TreeLifeData/COG1967.newick  |  #Recon:  2.0  |  Over 1?  False
True --  ../TreeLifeData/COG0361.newick  |  #Recon:  2560.0  |  Over 1?  False
True --  ../TreeLifeData/COG1249.newick  |  #Recon:  1.30902811843e+15  |  Over 1?  False
True --  ../TreeLifeData/COG0687.newick  |  #Recon:  1.0  |  Over 1?  False
True --  ../TreeLifeData/COG0407.newick  |  #Recon:  864.0  |  Over 1?  False
True --  ../TreeLifeData/COG1014.newick  |  #Recon:  1.0  |  Over 1?  False
True --  ../TreeLifeData/COG2164.newick  |  #Recon:  3.0  |  Over 1?  False
True --  ../TreeLifeData/COG2992.newick  |  #Recon:  4.0  |  Over 1?  False
True --  ../TreeLifeData/COG1069.newick  |  #Recon:  6.0  |  Over 1?  False
True --  ../TreeLifeData/COG3153.newick  |  #Recon:  80.0  |  Over 1?  False
True --  ../TreeLifeData/COG2033.newick  |  #Recon:  9.0  |  Over 1?  False
True --  ../TreeLifeData/COG4656.newick  |  #Recon:  9.0  |  Over 1?  False
True --  ../TreeLifeData/COG4911.newick  |  #Recon:  5.0  |  Over 1?  False
True --  ../TreeLifeData/COG4235.newick  |  #Recon:  2.0  |  Over 1?  False
True --  ../TreeLifeData/COG3669.newick  |  #Recon:  30.0  |  Over 1?  False
True --  ../TreeLifeData/COG2026.newick  |  #Recon:  36.0  |  Over 1?  False
True --  ../TreeLifeData/COG1675.newick  |  #Recon:  2.0  |  Over 1?  False
True --  ../TreeLifeData/COG0322.newick  |  #Recon:  48.0  |  Over 1?  False
True --  ../TreeLifeData/COG0521.newick  |  #Recon:  6144.0  |  Over 1?  False
True --  ../TreeLifeData/COG2237.newick  |  #Recon:  1.0  |  Over 1?  False
True --  ../TreeLifeData/COG5006.newick  |  #Recon:  162.0  |  Over 1?  False
True --  ../TreeLifeData/COG4755.newick  |  #Recon:  1.0  |  Over 1?  False
True --  ../TreeLifeData/COG4170.newick  |  #Recon:  1.0  |  Over 1?  False
True --  ../TreeLifeData/COG3641.newick  |  #Recon:  2.0  |  Over 1?  False
True --  ../TreeLifeData/COG3452.newick  |  #Recon:  3.0  |  Over 1?  False
True --  ../TreeLifeData/COG1292.newick  |  #Recon:  59616.0  |  Over 1?  False
True --  ../TreeLifeData/COG2026.newick  |  #Recon:  36.0  |  Over 1?  False
True --  ../TreeLifeData/COG5447.newick  |  #Recon:  1.0  |  Over 1?  False
True --  ../TreeLifeData/COG5384.newick  |  #Recon:  1.0  |  Over 1?  False
True --  ../TreeLifeData/COG1559.newick  |  #Recon:  24.0  |  Over 1?  False
True --  ../TreeLifeData/COG0059.newick  |  #Recon:  4608.0  |  Over 1?  False
