FILE	K=1	K=2	K=3	K=4	K=1	K=2	K=3	K=4	K=1	K=2	K=3	K=4
../TreeLifeData/COG0292.newick	30.333333	26.727816	25.224216	24.410365	30.333333	26.727816	25.224216	24.410365	34.15	29.5699074074	27.0235403807	25.1089441872
../TreeLifeData/COG1304.newick	41.245614	35.960648	33.028955	31.796174	41.245614	35.41155	32.407306	31.375315	46.5175438596	39.1472567414	35.255734243	32.6874086257
../TreeLifeData/COG1247.newick	32.666667	20.953704	19.496914	17.375772	29.833333	19.5	18.044753	16.239198	33.4888888889	25.2861111111	21.4273919753	19.2395061728
../TreeLifeData/COG0821.newick	35.705128	30.763472	29.508948	28.703442	35.705128	30.763472	29.508948	28.430055	37.6679487179	32.986076055	30.6096120459	28.7944043803
../TreeLifeData/COG1162.newick	23.192308	18.677885	17.240385	16.728365	23.192308	18.677885	16.987981	16.475962	24.5692307692	19.6435096154	17.725	16.2878605769
../TreeLifeData/COG2216.newick	12.484848	10.775758	9.454545	8.787879	12.484848	10.775758	9.454545	8.787879	14.3248484848	11.7127272727	10.1345454545	9.35757575758
../TreeLifeData/COG1944.newick	15.3	11.225	10.425	9.78125	15.3	10.7875	10.08125	9.53125	15.94	12.554375	10.56	9.93125
../TreeLifeData/COG0256.newick	25.333333	21.198568	20.110026	19.096191	25.333333	20.863281	20.110026	18.70638	26.1833333333	23.1536458333	20.6292317708	19.3302083333
../TreeLifeData/COG0059.newick	28.111111	23.225694	21.753906	20.55599	28.111111	22.851562	21.417101	20.55599	31.1972222222	25.6560763889	22.7388020833	21.2542100694
../TreeLifeData/COG2301.newick	29.837234	26.562699	25.528191	24.597606	29.735106	26.286636	24.748836	23.993451	33.6665957447	29.1773138298	27.2675099734	25.5727593085
../TreeLifeData/COG2264.newick	20.85	16.345833	15.179167	14.152083	20.85	16.345833	15.179167	13.970833	23.8966666667	18.9370833333	17.0579166667	15.5747916667
../TreeLifeData/COG1808.newick	16.5	12.99537	11.805556	11.215278	16.5	12.99537	11.805556	11.215278	17.3666666667	14.2310185185	12.7344907407	11.6023148148
../TreeLifeData/COG0071.newick	38.952381	34.352056	32.990587	31.94341	38.952381	34.352056	32.990587	31.786619	42.8535714286	37.1793242601	34.8913693706	0
../TreeLifeData/COG3505.newick	20.862069	16.512931	14.609914	13.364224	20.862069	16.140086	14.346983	13.364224	22.8137931034	18.6318965517	15.6747844828	14.5392241379
../TreeLifeData/COG0630.newick	24.0	18.729167	16.927951	16.009549	22.0	18.402778	16.927951	16.009549	23.4333333333	19.7893229167	17.9369791667	16.7765625
../TreeLifeData/COG0123.newick	38.653846	31.700909	31.066895	29.995136	38.653846	31.700909	31.066895	29.444298	39.4230769231	33.9594651442	31.1297588642	29.3726186899
../TreeLifeData/COG0736.newick	24.194444	20.440394	19.449074	18.614294	24.194444	19.836806	18.895255	17.76765	25.6833333333	21.827662037	19.9072916667	18.5586226852
../TreeLifeData/COG1232.newick	14.0	10.555556	9.625	8.944444	14.0	10.555556	9.625	8.944444	14.6666666667	11.8888888889	10.2069444444	9.39722222222
../TreeLifeData/COG3152.newick	16.844444	13.822222	13.074074	12.338889	16.844444	13.822222	12.67037	12.033333	18.6266666667	15.5074074074	13.9555555556	12.7912962963
../TreeLifeData/COG1284.newick	27.346154	23.039835	20.243132	19.460165	26.697802	22.190934	19.446429	18.759615	30.4725274725	25.6519230769	23.0105082418	20.9207417582
../TreeLifeData/COG1451.newick	33.685383	29.368622	27.788575	27.008105	32.295009	28.515346	27.156877	26.437792	36.3039215686	31.5416290664	29.2730559269	27.4483748329
../TreeLifeData/COG1042.newick	18.679487	15.5	14.057692	13.108974	18.679487	15.5	14.057692	13.108974	20.5448717949	17.258974359	15.3259615385	13.9708333333
