kc_file	recon_count	km_file	recon_count
COG0292.newick.count	15552.0	COG1304.newick.count	98496.0
COG0616.newick.count	1520640.0	COG1247.newick.count	2592.0
COG1304.newick.count	98496.0	COG2216.newick.count	165.0
COG1247.newick.count	2592.0	COG1944.newick.count	160.0
COG0100.newick.count	10616832.0	COG0059.newick.count	4608.0
COG0821.newick.count	119808.0	COG2301.newick.count	30080.0
COG1162.newick.count	832.0	COG2264.newick.count	480.0
COG2216.newick.count	165.0	COG1808.newick.count	432.0
COG0256.newick.count	6144.0	COG3505.newick.count	464.0
COG0059.newick.count	4608.0	COG0630.newick.count	2304.0
COG2301.newick.count	30080.0	COG0123.newick.count	53248.0
COG2264.newick.count	480.0	COG1232.newick.count	144.0
COG1808.newick.count	432.0	COG3152.newick.count	540.0
COG0071.newick.count	1548288.0	COG1451.newick.count	71808.0
COG3505.newick.count	464.0	COG1042.newick.count	624.0
COG0123.newick.count	53248.0	COG2089.newick.count	1440.0
COG0736.newick.count	3456.0	COG2334.newick.count	840.0
COG1232.newick.count	144.0	COG0017.newick.count	3072.0
COG3152.newick.count	540.0	COG0104.newick.count	6144.0
COG1284.newick.count	1456.0	COG1048.newick.count	768.0
COG1451.newick.count	71808.0	COG1135.newick.count	256.0
COG1042.newick.count	624.0	COG1283.newick.count	1280.0
COG2089.newick.count	1440.0	COG0064.newick.count	576.0
COG2334.newick.count	840.0	COG4631.newick.count	192.0
COG0017.newick.count	3072.0	COG0233.newick.count	768.0
COG0104.newick.count	6144.0	COG0315.newick.count	77760.0
COG1048.newick.count	768.0	COG2812.newick.count	20736.0
COG1570.newick.count	160.0	COG0168.newick.count	108864.0
COG1135.newick.count	256.0	COG0238.newick.count	6144.0
COG1283.newick.count	1280.0	COG4965.newick.count	384.0
COG0064.newick.count	576.0	COG1418.newick.count	504.0
COG4631.newick.count	192.0	COG1433.newick.count	150.0
COG0233.newick.count	768.0	COG0572.newick.count	36864.0
COG0315.newick.count	77760.0	COG0144.newick.count	62208.0
COG2812.newick.count	20736.0	COG0291.newick.count	1728.0
COG0677.newick.count	3072.0	COG0124.newick.count	2304.0
COG0298.newick.count	384.0	COG0368.newick.count	1056.0
COG0168.newick.count	108864.0	COG0299.newick.count	1024.0
COG0337.newick.count	207360.0	COG4963.newick.count	144.0
COG0321.newick.count	2400.0	COG0126.newick.count	9216.0
COG0238.newick.count	6144.0	COG0634.newick.count	153600.0
COG2156.newick.count	240.0	COG2337.newick.count	384.0
COG1418.newick.count	504.0	COG1501.newick.count	672.0
COG1222.newick.count	49152.0	COG0690.newick.count	384.0
COG2710.newick.count	8448000.0	COG0201.newick.count	9216.0
COG2169.newick.count	243.0	COG0097.newick.count	26880.0
COG0572.newick.count	36864.0	COG1198.newick.count	128.0
COG0190.newick.count	2875392.0	COG2239.newick.count	576.0
COG0144.newick.count	62208.0	COG3568.newick.count	188.0
COG0291.newick.count	1728.0	COG0750.newick.count	288.0
COG0251.newick.count	1700.0	COG2249.newick.count	16896.0
COG1619.newick.count	360.0	COG5272.newick.count	3456.0
COG0569.newick.count	98304.0	COG0284.newick.count	3888.0
COG0124.newick.count	2304.0	COG3027.newick.count	112.0
COG0368.newick.count	1056.0	COG0843.newick.count	96768.0
COG0564.newick.count	497664.0	COG3181.newick.count	576.0
